i,force1
584,0.6000000000000001
585,1.1
586,1.3
587,1.4000000000000001
588,1.5
589,1.5
590,1.5
591,1.4000000000000001
592,1.4000000000000001
593,1.4000000000000001
594,1.4000000000000001
595,1.4000000000000001
596,1.4000000000000001
597,1.4000000000000001
598,1.4000000000000001
599,1.3
600,1.3
601,1.3
602,1.3
603,1.4000000000000001
604,1.4000000000000001
605,1.4000000000000001
606,1.4000000000000001
607,1.4000000000000001
608,1.4000000000000001
609,1.4000000000000001
610,1.4000000000000001
611,1.4000000000000001
612,1.4000000000000001
613,1.4000000000000001
614,1.4000000000000001
615,1.4000000000000001
616,1.4000000000000001
617,1.4000000000000001
618,1.4000000000000001
619,1.4000000000000001
620,1.4000000000000001
621,1.4000000000000001
622,1.4000000000000001
623,1.4000000000000001
624,1.4000000000000001
625,1.4000000000000001
626,1.4000000000000001
627,1.4000000000000001
628,1.4000000000000001
629,1.4000000000000001
630,1.4000000000000001
631,1.4000000000000001
632,1.4000000000000001
633,1.4000000000000001
634,1.4000000000000001
635,1.4000000000000001
636,1.4000000000000001
637,1.4000000000000001
638,1.4000000000000001
639,1.4000000000000001
640,1.4000000000000001
641,1.4000000000000001
642,1.4000000000000001
643,1.4000000000000001
644,1.4000000000000001
645,1.4000000000000001
646,1.4000000000000001
647,1.4000000000000001
648,1.4000000000000001
649,1.4000000000000001
650,1.4000000000000001
651,1.4000000000000001
652,1.4000000000000001
653,1.4000000000000001
654,1.4000000000000001
655,1.4000000000000001
